question,answer,retrieved_sources
Какая планета самая большая в Солнечной системе?,"Юпитер — пятая планета от Солнца и крупнейшая в Солнечной системе. Большое Нептун — восьмая и самая удалённая планета Солнечной системы. Это ледяной гигант с сильнейшими ветрами в Солнечной системе — до 2100 км/ч. Крупнейший спутник Ганимед — крупнейший спутник в Солнечной системе, его диаметр составляет 5268 км, что больше Меркурия. Масса Юпитера в 318 раз превышает массу Земли.",Юпитер (doc_05); Нептун (doc_08); Ганимед — спутник Юпитера (doc_18)
Где могут обнаружить внеземную жизнь?,и органических молекул делает Энцелад одним из приоритетных объектов для поиска внеземной жизни. воды. Этот подлёдный океан делает Европу одним из главных кандидатов на поиск внеземной жизни в Солнечной системе. Толщина ледяного покрова оценивается в 10–30 км. Церера — крупнейший объект в поясе астероидов и единственная карликовая планета во внутренней части Солнечной системы.,Энцелад — спутник Сатурна (doc_21); Европа — спутник Юпитера (doc_14); Церера — карликовая планета (doc_22)
Что находится на поверхности Титана?,"Миссия Dawn обнаружила на поверхности яркие пятна, состоящие из Сатурн — шестая планета от Солнца, знаменитая своей системой колец. Церера — крупнейший объект в поясе астероидов и единственная карликовая планета во внутренней части Солнечной системы. Диаметр — около 940 км. Кольца состоят из частиц льда и камня размером от пылинок до нескольких метров. Сатурн — газовый гигант, его плотность меньше Пояс Койпера — область Солнечной системы за орбитой Нептуна, простирающаяся примерно от 30 до 55 а.е.",Церера — карликовая планета (doc_22); Сатурн (doc_06); Пояс Койпера (doc_17)
Какая температура на Меркурии?,"достигает +430 °C, а на ночной опускается до −180 °C. Температура поверхности (фотосферы) — около 5500 °C, а ядра — около 15 млн °C. Меркурий — самая маленькая планета Солнечной системы после исключения Плутона из списка планет. Меркурий — ближайшая к Солнцу планета Солнечной системы. Его орбитальный период составляет около 88 земных суток.",Меркурий (doc_01); Солнце (doc_10)
Откуда берутся кометы?,"Солнца. Считается источником долгопериодических комет. Облако содержит триллионы ледяных тел. Ни один космический аппарат пока не достиг облака Оорта — Вояджер-1, самый далёкий аппарат, всё ещё находится далеко от его ледяных тел, включая карликовые планеты Плутон, Эриду, Макемаке и Хаумеа. Объекты пояса Койпера состоят из замёрзших летучих веществ — метана, аммиака и воды.",Облако Оорта (doc_19); Пояс Койпера (doc_17); Комета Галлея (doc_16)
Сколько спутников у Юпитера?,"У Юпитера более 90 известных спутников, крупнейшие из которых — Ио, Европа, Ганимед и Каллисто (галилеевы спутники). У Плутона пять известных спутников, крупнейший — Харон, диаметром около 1212 столетий. Юпитер — пятая планета от Солнца и крупнейшая в Солнечной системе. Масса Юпитера в 318 раз превышает массу Земли.",Юпитер (doc_05); Плутон (doc_12)
Какова масса Солнца?,"Его масса составляет 99,86% от общей массы всей Солнечной системы. Масса Юпитера в 318 раз превышает массу Земли. Солнце — звезда в центре Солнечной системы, жёлтый карлик спектрального класса G2V. Температура поверхности (фотосферы) — около 5500 °C, а Ганимед — крупнейший спутник в Солнечной системе, его диаметр составляет 5268 км, что больше Меркурия. Ганимед — единственный спутник, обладающий собственным магнитным полем.",Солнце (doc_10); Ганимед — спутник Юпитера (doc_18); Юпитер (doc_05)
Что такое пояс Койпера?,"Пояс Койпера считается источником короткопериодических комет. Церера — крупнейший объект в поясе астероидов и единственная карликовая планета во внутренней части Солнечной системы. Диаметр — около 940 км. Миссия Dawn обнаружила на поверхности яркие пятна, состоящие из захваченным объектом из пояса Койпера. У Нептуна 16 известных спутников и слабая система колец.",Церера — карликовая планета (doc_22); Нептун (doc_08); Пояс Койпера (doc_17)
Какая погода на Марсе сегодня?,"На Марсе находится самая высокая гора в Солнечной системе — Олимп (около 21 км). На Марсе находится самая высокая в обычном смысле: у него есть лишь крайне разрежённая экзосфера. У Марса Марс — четвёртая планета от Солнца, известная как Красная планета из-за оксида железа на поверхности. Температура на дневной стороне достигает +430 °C, а на ночной опускается до −180 °C. в основном из углекислого газа.",Марс (doc_04); Меркурий (doc_01)
Сравни гравитацию на Земле и на Луне,На Луне покрыта реголитом — мелкой пылью и обломками пород. Луна влияет на приливы и отливы на Земле и постепенно удаляется от Церера диаметром около 940 км. На Луне побывали 12 человек в рамках программы «Аполлон» (1969–1972). Луна не имеет атмосферы и магнитного поля. Поверхность покрыта реголитом — мелкой пылью и обломками пород.,Луна (doc_09); Пояс астероидов (doc_11)
Кто открыл Плутон?,"Плутон — карликовая планета в поясе Койпера. До 2006 года считался девятой планетой. Диаметр Плутона — около 2377 км. У Плутона пять известных спутников, крупнейший — Харон, диаметром около 1212 Пояс Койпера — область Солнечной системы за орбитой Нептуна, простирающаяся примерно от 30 до 55 а.е. от Солнца.",Плутон (doc_12); Пояс Койпера (doc_17)
Какие экзопланеты похожи на Землю?,"бы «лежит на боку». Атмосфера содержит водород, гелий и метан, который придаёт планете голубовато-зелёный цвет. Уран имеет систему тонких колец и 27 известных спутников, названных в честь персонажей Шекспира и Пояс астероидов — область между орбитами Марса и Юпитера, содержащая множество малых тел Солнечной системы. Крупнейший объект — карликовая планета Церера диаметром около 940 км. Суммарная масса всех объектов пояса и органических молекул делает Энцелад одним из приоритетных объектов для поиска внеземной жизни.",Уран (doc_07); Пояс астероидов (doc_11); Энцелад — спутник Сатурна (doc_21)
