idx,text,true_label,raw_answer,parsed_label,parsed_ok,correct
0,"Приложение вылетает при открытии раздела профиля",bug,"bug",bug,1,1
1,"Не работает кнопка оплаты в Safari на iOS",bug,"bug",bug,1,1
2,"После обновления сайт перестал загружаться",bug,"bug",bug,1,1
3,"При входе в аккаунт выдаёт ошибку 500",bug,"bug",bug,1,1
4,"Картинки не отображаются в галерее товаров",bug,"bug",bug,1,1
5,"Хотелось бы добавить тёмную тему в настройках",feature,"feature",feature,1,1
6,"Было бы здорово иметь экспорт в PDF",feature,"feature",feature,1,1
7,"Добавьте, пожалуйста, двухфакторную аутентификацию",feature,"feature",feature,1,1
8,"Нужна поддержка нескольких валют",feature,"question",question,1,0
9,"Предлагаю добавить калькулятор доставки",feature,"feature",feature,1,1
10,"Как сбросить пароль?",question,"question",question,1,1
11,"Где найти историю моих заказов?",question,"question",question,1,1
12,"Можно ли оплатить картой другого банка?",question,"question",question,1,1
13,"Сколько стоит доставка в Новосибирск?",question,"question",question,1,1
14,"Как изменить адрес электронной почты в профиле?",question,"question",question,1,1
15,"Отличное приложение, пользуюсь каждый день!",praise,"praise",praise,1,1
16,"Очень удобный и понятный интерфейс, спасибо",praise,"praise",praise,1,1
17,"Быстрая доставка, всё пришло в срок",praise,"feature",feature,1,0
18,"Ребята, вы лучшие, продолжайте в том же духе",praise,"praise",praise,1,1
19,"Поддержка отвечает моментально, приятно удивлён",praise,"praise",praise,1,1
